A-site,B-site,X-site,T_f,O_f,r_A.eff,P_A,A_HOMO,χ_B,r_B_s+p,A_LUMO,r_B,IE_B,P_B,EA_B,X_p-electron,IC_B,1st_IP_B,VE_B,B_d-electron,1st_IP_X,χ_X,P_X,IC_X,r_X_s+p,r_X,X_s-electron,B_p-electron,EA_X,B_s-electron,X_d-electron,B_f-electron,X_f-electron,bandgap-ML(eV)
NH2NH3,Cd,I,0.9809703599318134,0.43181818181818177,2.17,2.603313579,-12.982000000000001,1.4,2.215,-6.67,0.95,16.90831,7.36,0.3983,24,46,8.99,10,20,10.45,2.66,4.7,54,1.585,2.2,10,18,3.0589999999999997,8,20,0,0,1.2038868241622367
NH2NH3,Cu,F,1.2013950165790857,0.5488721804511277,2.17,2.603313579,-12.982000000000001,1.9,2.04,-6.67,0.73,20.2924,6.1,1.235,6,27,7.73,9,9,17.42,3.98,0.557,10,0.405,1.33,4,12,3.4010000000000002,6,0,0,0,0.785622380406995
NH2NH3,Cu,Cl,1.1079862161899443,0.4033149171270718,2.17,2.603313579,-12.982000000000001,1.9,2.04,-6.67,0.73,20.2924,6.1,1.235,11,27,7.73,9,9,12.97,3.16,2.18,18,1.01,1.81,6,12,3.613,6,0,0,0,0.5876677193948943
NH2NH3,Cu,Br,1.0856323443496063,0.3724489795918368,2.17,2.603313579,-12.982000000000001,1.9,2.04,-6.67,0.73,20.2924,6.1,1.235,18,27,7.73,9,9,11.81,2.96,3.04,36,1.2,1.96,8,12,3.364,6,10,0,0,0.20587715533913664
NH2NH3,Cu,I,1.0546268374693557,0.3318181818181818,2.17,2.603313579,-12.982000000000001,1.9,2.04,-6.67,0.73,20.2924,6.1,1.235,24,27,7.73,9,9,10.45,2.66,4.7,54,1.585,2.2,10,12,3.0589999999999997,6,20,0,0,0.1481047581358063
NH2NH3,Ge,F,1.2013950165790857,0.5488721804511277,2.17,2.603313579,-12.982000000000001,2.01,1.56,-6.67,0.73,15.934610000000001,5.84,1.232712,6,30,7.9,2,10,17.42,3.98,0.557,10,0.405,1.33,4,12,3.4010000000000002,8,0,0,0,2.925565132191762
NH2NH3,Ge,Cl,1.1079862161899443,0.4033149171270718,2.17,2.603313579,-12.982000000000001,2.01,1.56,-6.67,0.73,15.934610000000001,5.84,1.232712,11,30,7.9,2,10,12.97,3.16,2.18,18,1.01,1.81,6,12,3.613,8,0,0,0,2.70511373619967
NH2NH3,Ge,Br,1.0856323443496063,0.3724489795918368,2.17,2.603313579,-12.982000000000001,2.01,1.56,-6.67,0.73,15.934610000000001,5.84,1.232712,18,30,7.9,2,10,11.81,2.96,3.04,36,1.2,1.96,8,12,3.364,8,10,0,0,1.8472170298787551
NH2NH3,Ge,I,1.0546268374693557,0.3318181818181818,2.17,2.603313579,-12.982000000000001,2.01,1.56,-6.67,0.73,15.934610000000001,5.84,1.232712,24,30,7.9,2,10,10.45,2.66,4.7,54,1.585,2.2,10,12,3.0589999999999997,8,20,0,0,1.3914561029608303
NH2NH3,Hf,F,1.0269185618891767,0.8120300751879699,2.17,2.603313579,-12.982000000000001,1.73,2.91,-6.67,1.08,15.0,16.2,0.013999999999999999,6,70,6.83,2,22,17.42,3.98,0.557,10,0.405,1.33,4,24,3.4010000000000002,10,0,14,0,1.5194051045504298
NH2NH3,Hf,Cl,0.9738010342984288,0.5966850828729282,2.17,2.603313579,-12.982000000000001,1.73,2.91,-6.67,1.08,15.0,16.2,0.013999999999999999,11,70,6.83,2,22,12.97,3.16,2.18,18,1.01,1.81,6,24,3.613,10,0,14,0,1.2178335878748148
NH2NH3,Hf,Br,0.9606417783883028,0.5510204081632654,2.17,2.603313579,-12.982000000000001,1.73,2.91,-6.67,1.08,15.0,16.2,0.013999999999999999,18,70,6.83,2,22,11.81,2.96,3.04,36,1.2,1.96,8,24,3.364,10,10,14,0,0.6064864524837627
NH2NH3,Hf,I,0.9420904371296379,0.4909090909090909,2.17,2.603313579,-12.982000000000001,1.73,2.91,-6.67,1.08,15.0,16.2,0.013999999999999999,24,70,6.83,2,22,10.45,2.66,4.7,54,1.585,2.2,10,24,3.0589999999999997,10,20,14,0,0.6009473488505039
NH2NH3,In,F,1.0690599283597908,0.7406015037593985,2.17,2.603313579,-12.982000000000001,1.63,2.05,-6.67,0.985,18.8703,9.1,0.3,6,47,5.79,1,20,17.42,3.98,0.557,10,0.405,1.33,4,18,3.4010000000000002,9,0,0,0,2.9103699285663076
NH2NH3,In,Cl,1.0068998172173378,0.5441988950276243,2.17,2.603313579,-12.982000000000001,1.63,2.05,-6.67,0.985,18.8703,9.1,0.3,11,47,5.79,1,20,12.97,3.16,2.18,18,1.01,1.81,6,18,3.613,9,0,0,0,2.645728973401771
NH2NH3,In,Br,0.9916302228524418,0.5025510204081632,2.17,2.603313579,-12.982000000000001,1.63,2.05,-6.67,0.985,18.8703,9.1,0.3,18,47,5.79,1,20,11.81,2.96,3.04,36,1.2,1.96,8,18,3.364,9,10,0,0,1.102536790073718
NH2NH3,In,I,0.9701904658666288,0.4477272727272727,2.17,2.603313579,-12.982000000000001,1.63,2.05,-6.67,0.985,18.8703,9.1,0.3,24,47,5.79,1,20,10.45,2.66,4.7,54,1.585,2.2,10,18,3.0589999999999997,9,20,0,0,0.6794277610522768
NH2NH3,Mg,F,1.2072554800745934,0.5413533834586466,2.17,2.603313579,-12.982000000000001,1.31,2.03,-6.67,0.72,15.03527,10.6,0.2623,6,10,7.65,0,0,17.42,3.98,0.557,10,0.405,1.33,4,6,3.4010000000000002,4,0,0,0,3.7837917372876784
NH2NH3,Mg,Cl,1.1123656083487978,0.3977900552486188,2.17,2.603313579,-12.982000000000001,1.31,2.03,-6.67,0.72,15.03527,10.6,0.2623,11,10,7.65,0,0,12.97,3.16,2.18,18,1.01,1.81,6,6,3.613,4,0,0,0,3.587970345634864
NH2NH3,Mg,Br,1.0896832113061348,0.3673469387755102,2.17,2.603313579,-12.982000000000001,1.31,2.03,-6.67,0.72,15.03527,10.6,0.2623,18,10,7.65,0,0,11.81,2.96,3.04,36,1.2,1.96,8,6,3.364,4,10,0,0,3.0712145645178786
NH2NH3,Mg,I,1.058238573214114,0.3272727272727272,2.17,2.603313579,-12.982000000000001,1.31,2.03,-6.67,0.72,15.03527,10.6,0.2623,24,10,7.65,0,0,10.45,2.66,4.7,54,1.585,2.2,10,6,3.0589999999999997,4,20,0,0,2.2689735297655376
NH2NH3,Mo,F,1.1098088493959266,0.6766917293233082,2.17,2.603313579,-12.982000000000001,1.94,2.72,-6.67,0.9,16.16,12.8,0.748,6,40,7.09,4,14,17.42,3.98,0.557,10,0.405,1.33,4,18,3.4010000000000002,8,0,0,0,1.390373770249214
NH2NH3,Mo,Cl,1.0384815458016454,0.4972375690607735,2.17,2.603313579,-12.982000000000001,1.94,2.72,-6.67,0.9,16.16,12.8,0.748,11,40,7.09,4,14,12.97,3.16,2.18,18,1.01,1.81,6,18,3.613,8,0,0,0,1.1883040500842248
NH2NH3,Mo,Br,1.0211017504546998,0.4591836734693878,2.17,2.603313579,-12.982000000000001,1.94,2.72,-6.67,0.9,16.16,12.8,0.748,18,40,7.09,4,14,11.81,2.96,3.04,36,1.2,1.96,8,18,3.364,8,10,0,0,0.5804470217708808
NH2NH3,Mo,I,0.9967924625113588,0.40909090909090906,2.17,2.603313579,-12.982000000000001,1.94,2.72,-6.67,0.9,16.16,12.8,0.748,24,40,7.09,4,14,10.45,2.66,4.7,54,1.585,2.2,10,18,3.0589999999999997,8,20,0,0,0.5618196836734982
NH2NH3,Nb,F,1.0667559198934982,0.744360902255639,2.17,2.603313579,-12.982000000000001,2.03,2.79,-6.67,0.99,14.0,15.7,0.9159999999999999,6,39,6.76,3,13,17.42,3.98,0.557,10,0.405,1.33,4,18,3.4010000000000002,8,0,0,0,1.3601475842939186
NH2NH3,Nb,Cl,1.0051017818294496,0.5469613259668508,2.17,2.603313579,-12.982000000000001,2.03,2.79,-6.67,0.99,14.0,15.7,0.9159999999999999,11,39,6.76,3,13,12.97,3.16,2.18,18,1.01,1.81,6,18,3.613,8,0,0,0,1.1353153302267118
NH2NH3,Nb,Br,0.9899494936611664,0.5051020408163265,2.17,2.603313579,-12.982000000000001,2.03,2.79,-6.67,0.99,14.0,15.7,0.9159999999999999,18,39,6.76,3,13,11.81,2.96,3.04,36,1.2,1.96,8,18,3.364,8,10,0,0,0.5592396569148239
NH2NH3,Nb,I,0.9686697911552388,0.45,2.17,2.603313579,-12.982000000000001,2.03,2.79,-6.67,0.99,14.0,15.7,0.9159999999999999,24,39,6.76,3,13,10.45,2.66,4.7,54,1.585,2.2,10,18,3.0589999999999997,8,20,0,0,0.564782314648927
NH2NH3,Ni,F,1.2251850169073841,0.5187969924812029,2.17,2.603313579,-12.982000000000001,1.76,2.18,-6.67,0.69,18.16884,6.8,1.156,6,26,7.64,8,8,17.42,3.98,0.557,10,0.405,1.33,4,12,3.4010000000000002,6,0,0,0,1.2500622154635912
NH2NH3,Ni,Cl,1.1257139956489837,0.3812154696132597,2.17,2.603313579,-12.982000000000001,1.76,2.18,-6.67,0.69,18.16884,6.8,1.156,11,26,7.64,8,8,12.97,3.16,2.18,18,1.01,1.81,6,12,3.613,6,0,0,0,1.0479924952986013
NH2NH3,Ni,Br,1.1020192476605437,0.3520408163265306,2.17,2.603313579,-12.982000000000001,1.76,2.18,-6.67,0.69,18.16884,6.8,1.156,18,26,7.64,8,8,11.81,2.96,3.04,36,1.2,1.96,8,12,3.364,6,10,0,0,0.593662883786351
NH2NH3,Ni,I,1.0692237487146063,0.3136363636363636,2.17,2.603313579,-12.982000000000001,1.76,2.18,-6.67,0.69,18.16884,6.8,1.156,24,26,7.64,8,8,10.45,2.66,4.7,54,1.585,2.2,10,12,3.0589999999999997,6,20,0,0,0.5358904865830207
NH2NH3,P,F,1.2626906806902634,0.4736842105263158,2.17,2.603313579,-12.982000000000001,2.32,1.24,-6.67,0.63,19.7695,3.63,0.746607,6,13,10.49,3,0,17.42,3.98,0.557,10,0.405,1.33,4,7,3.4010000000000002,6,0,0,0,1.1745896512423717
NH2NH3,P,Cl,1.15339548734527,0.34806629834254144,2.17,2.603313579,-12.982000000000001,2.32,1.24,-6.67,0.63,19.7695,3.63,0.746607,11,13,10.49,3,0,12.97,3.16,2.18,18,1.01,1.81,6,7,3.613,6,0,0,0,1.0167094902498242
NH2NH3,P,Br,1.1275486510812514,0.32142857142857145,2.17,2.603313579,-12.982000000000001,2.32,1.24,-6.67,0.63,19.7695,3.63,0.746607,18,13,10.49,3,0,11.81,2.96,3.04,36,1.2,1.96,8,7,3.364,6,10,0,0,0.17320569209133793
NH2NH3,P,I,1.091892803457672,0.2863636363636363,2.17,2.603313579,-12.982000000000001,2.32,1.24,-6.67,0.63,19.7695,3.63,0.746607,24,13,10.49,3,0,10.45,2.66,4.7,54,1.585,2.2,10,7,3.0589999999999997,6,20,0,0,0.1390885153946052
NH2NH3,Pb,F,0.9820927516479826,0.8947368421052628,2.17,2.603313579,-12.982000000000001,1.8,2.09,-6.67,1.19,15.03248,6.98,0.364,6,80,7.42,2,30,17.42,3.98,0.557,10,0.405,1.33,4,24,3.4010000000000002,12,0,14,0,3.0030549791919268
NH2NH3,Pb,Cl,0.938094996374153,0.6574585635359116,2.17,2.603313579,-12.982000000000001,1.8,2.09,-6.67,1.19,15.03248,6.98,0.364,11,80,7.42,2,30,12.97,3.16,2.18,18,1.01,1.81,6,24,3.613,12,0,14,0,2.738414024027391
NH2NH3,Pd,F,1.1300793306634322,0.6466165413533834,2.17,2.603313579,-12.982000000000001,2.08,2.45,-6.67,0.86,19.43,4.8,0.562,6,44,8.34,8,18,17.42,3.98,0.557,10,0.405,1.33,4,18,3.4010000000000002,8,0,0,0,1.0882454415983664
NH2NH3,Pd,Cl,1.0540393217687112,0.4751381215469613,2.17,2.603313579,-12.982000000000001,2.08,2.45,-6.67,0.86,19.43,4.8,0.562,11,44,8.34,8,18,12.97,3.16,2.18,18,1.01,1.81,6,18,3.613,8,0,0,0,0.9303652806058192
NH2NH3,Pd,Br,1.0355854632271069,0.4387755102040816,2.17,2.603313579,-12.982000000000001,2.08,2.45,-6.67,0.86,19.43,4.8,0.562,18,44,8.34,8,18,11.81,2.96,3.04,36,1.2,1.96,8,18,3.364,8,10,0,0,0.06234363844625115
NH2NH3,Pd,I,1.0098224293415727,0.3909090909090909,2.17,2.603313579,-12.982000000000001,2.08,2.45,-6.67,0.86,19.43,4.8,0.562,24,44,8.34,8,18,10.45,2.66,4.7,54,1.585,2.2,10,18,3.0589999999999997,8,20,0,0,0.036047966839883615
NH2NH3,Re,F,1.1352631808040898,0.6390977443609022,2.17,2.603313579,-12.982000000000001,2.06,2.68,-6.67,0.85,17.833,9.7,0.15,6,73,7.88,5,25,17.42,3.98,0.557,10,0.405,1.33,4,24,3.4010000000000002,10,0,14,0,1.2949830737091956
NH2NH3,Re,Cl,1.058001875609947,0.4696132596685082,2.17,2.603313579,-12.982000000000001,2.06,2.68,-6.67,0.85,17.833,9.7,0.15,11,73,7.88,5,25,12.97,3.16,2.18,18,1.01,1.81,6,24,3.613,10,0,14,0,1.092913353544206
NH2NH3,Re,Br,1.039270820747488,0.4336734693877551,2.17,2.603313579,-12.982000000000001,2.06,2.68,-6.67,0.85,17.833,9.7,0.15,18,73,7.88,5,25,11.81,2.96,3.04,36,1.2,1.96,8,24,3.364,10,10,14,0,0.48505632523086273
NH2NH3,Re,I,1.0131333225525287,0.3863636363636363,2.17,2.603313579,-12.982000000000001,2.06,2.68,-6.67,0.85,17.833,9.7,0.15,24,73,7.88,5,25,10.45,2.66,4.7,54,1.585,2.2,10,24,3.0589999999999997,10,20,14,0,0.4628330747909389
NH2NH3,Rh,F,1.1404948083653992,0.631578947368421,2.17,2.603313579,-12.982000000000001,1.99,2.52,-6.67,0.84,18.08,8.6,1.137,6,43,7.46,7,17,17.42,3.98,0.557,10,0.405,1.33,4,18,3.4010000000000002,8,0,0,0,1.3118880560778536
NH2NH3,Rh,Cl,1.0619943355179091,0.4640883977900552,2.17,2.603313579,-12.982000000000001,1.99,2.52,-6.67,0.84,18.08,8.6,1.137,11,43,7.46,7,17,12.97,3.16,2.18,18,1.01,1.81,6,18,3.613,8,0,0,0,1.109818335912864
NH2NH3,Rh,Br,1.0429825022501575,0.42857142857142855,2.17,2.603313579,-12.982000000000001,1.99,2.52,-6.67,0.84,18.08,8.6,1.137,18,43,7.46,7,17,11.81,2.96,3.04,36,1.2,1.96,8,18,3.364,8,10,0,0,0.46618009528977944
NH2NH3,Rh,I,1.0164659979556618,0.3818181818181818,2.17,2.603313579,-12.982000000000001,1.99,2.52,-6.67,0.84,18.08,8.6,1.137,24,43,7.46,7,17,10.45,2.66,4.7,54,1.585,2.2,10,18,3.0589999999999997,8,20,0,0,0.42540299382076535
NH2NH3,Sb,F,0.9860054717740704,0.8872180451127819,2.17,2.603313579,-12.982000000000001,2.14,1.765,-6.67,1.18,16.63,6.6,1.046,6,49,8.54,3,20,17.42,3.98,0.557,10,0.405,1.33,4,19,3.4010000000000002,10,0,0,0,0.824927868398136
NH2NH3,Sb,Cl,0.9412324378335982,0.6519337016574586,2.17,2.603313579,-12.982000000000001,2.14,1.765,-6.67,1.18,16.63,6.6,1.046,11,49,8.54,3,20,12.97,3.16,2.18,18,1.01,1.81,6,19,3.613,10,0,0,0,0.6269732073860355
NH2NH3,Sb,Br,0.9300480911784844,0.6020408163265306,2.17,2.603313579,-12.982000000000001,2.14,1.765,-6.67,1.18,16.63,6.6,1.046,18,49,8.54,3,20,11.81,2.96,3.04,36,1.2,1.96,8,19,3.364,10,10,0,0,0.26970048733135954
NH2NH3,Sb,I,0.9142179389897079,0.5363636363636363,2.17,2.603313579,-12.982000000000001,2.14,1.765,-6.67,1.18,16.63,6.6,1.046,24,49,8.54,3,20,10.45,2.66,4.7,54,1.585,2.2,10,19,3.0589999999999997,10,20,0,0,0.21144249058593972
NH2NH3,Sc,F,1.0902527463228706,0.7067669172932329,2.17,2.603313579,-12.982000000000001,1.5,2.75,-6.67,0.94,12.79977,17.8,0.188,6,19,6.56,1,1,17.42,3.98,0.557,10,0.405,1.33,4,12,3.4010000000000002,6,0,0,0,1.5987052238032082
NH2NH3,Sc,Cl,1.0233763596808942,0.5193370165745856,2.17,2.603313579,-12.982000000000001,1.5,2.75,-6.67,0.94,12.79977,17.8,0.188,11,19,6.56,1,1,12.97,3.16,2.18,18,1.01,1.81,6,12,3.613,6,0,0,0,1.2971337071275932
NH2NH3,Sc,Br,1.0070175883794623,0.4795918367346938,2.17,2.603313579,-12.982000000000001,1.5,2.75,-6.67,0.94,12.79977,17.8,0.188,18,19,6.56,1,1,11.81,2.96,3.04,36,1.2,1.96,8,12,3.364,6,10,0,0,0.5671532031738943
NH2NH3,Sc,I,0.984094469358348,0.4272727272727272,2.17,2.603313579,-12.982000000000001,1.5,2.75,-6.67,0.94,12.79977,17.8,0.188,24,19,6.56,1,1,10.45,2.66,4.7,54,1.585,2.2,10,12,3.0589999999999997,6,20,0,0,0.5486030468473528
NH2NH3,Si,F,1.2499362293701597,0.4887218045112782,2.17,2.603313579,-12.982000000000001,1.98,1.42,-6.67,0.65,16.54584,5.53,1.3895211,6,12,8.15,2,0,17.42,3.98,0.557,10,0.405,1.33,4,6,3.4010000000000002,6,0,0,0,2.507099799854803
NH2NH3,Si,Cl,1.144018288261162,0.35911602209944754,2.17,2.603313579,-12.982000000000001,1.98,1.42,-6.67,0.65,16.54584,5.53,1.3895211,11,12,8.15,2,0,12.97,3.16,2.18,18,1.01,1.81,6,6,3.613,6,0,0,0,2.28664840386271
NH2NH3,Si,Br,1.1189084315327362,0.3316326530612245,2.17,2.603313579,-12.982000000000001,1.98,1.42,-6.67,0.65,16.54584,5.53,1.3895211,18,12,8.15,2,0,11.81,2.96,3.04,36,1.2,1.96,8,6,3.364,6,10,0,0,1.413745369030954
NH2NH3,Si,I,1.0842303978193728,0.2954545454545454,2.17,2.603313579,-12.982000000000001,1.98,1.42,-6.67,0.65,16.54584,5.53,1.3895211,24,12,8.15,2,0,10.45,2.66,4.7,54,1.585,2.2,10,6,3.0589999999999997,6,20,0,0,0.8516836498668726
NH2NH3,Sn,F,1.0101525445522106,0.8421052631578948,2.17,2.603313579,-12.982000000000001,1.96,1.88,-6.67,1.12,14.6322,6.28,1.112067,6,48,7.34,2,10,17.42,3.98,0.557,10,0.405,1.33,4,18,3.4010000000000002,10,0,0,0,2.0871480229701826
NH2NH3,Sn,Cl,0.9605068222260952,0.6187845303867404,2.17,2.603313579,-12.982000000000001,1.96,1.88,-6.67,1.12,14.6322,6.28,1.112067,11,48,7.34,2,10,12.97,3.16,2.18,18,1.01,1.81,6,18,3.613,10,0,0,0,1.8266221269585352
NH2NH3,Sr,F,0.9860054717740704,0.8872180451127819,2.17,2.603313579,-12.982000000000001,1.13,3.21,-6.67,1.18,11.0301,27.6,0.048,6,36,5.7,0,10,17.42,3.98,0.557,10,0.405,1.33,4,18,3.4010000000000002,8,0,0,0,5.082059972550161
NH2NH3,Sr,Cl,0.9412324378335982,0.6519337016574586,2.17,2.603313579,-12.982000000000001,1.13,3.21,-6.67,1.18,11.0301,27.6,0.048,11,36,5.7,0,10,12.97,3.16,2.18,18,1.01,1.81,6,18,3.613,8,0,0,0,5.000190596674137
NH2NH3,Sr,Br,0.9300480911784844,0.6020408163265306,2.17,2.603313579,-12.982000000000001,1.13,3.21,-6.67,1.18,11.0301,27.6,0.048,18,36,5.7,0,10,11.81,2.96,3.04,36,1.2,1.96,8,18,3.364,8,10,0,0,4.817305072446257
